i,x,y
1,0.5,1.25
2,1.0,2.84
3,1.5,2.12
4,2.0,-0.54
5,2.5,-2.11
6,3.0,-4.89
7,3.5,-5.23
8,4.0,-2.18
9,4.5,2.45
10,5.0,7.89
11,5.5,15.12
12,6.0,24.67
13,6.5,35.43
14,7.0,50.12
15,7.5,65.89
16,8.0,85.23
17,8.5,107.11
18,9.0,131.45
19,9.5,159.92
20,10.0,190.34
21,10.5,224.56
22,11.0,260.12
23,11.5,301.45
24,12.0,344.23
25,12.5,392.89
26,13.0,443.12
27,13.5,499.56
28,14.0,558.12
29,14.5,622.45
30,15.0,689.91
31,15.5,762.34
32,16.0,838.12
33,16.5,919.56
34,17.0,1005.12
35,17.5,1095.89
36,18.0,1191.23
37,18.5,1292.11
38,19.0,1397.45
39,19.5,1508.92
40,20.0,1625.34
